Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
D631_01N_B4092,SWAVELPOORT RIVER BRIDGE,Bridge,Bridge,2012/11/23,01N,D631,3.00,25.40,10.80,3,Simply supported,1978/01/02
D631_01N_B4093,STEEKRIET RIVER BRIDGE,Bridge,Bridge,2012/11/23,01N,D631,4.10,8.40,10.80,1,Simply supported,
D631_01N_B4094,PIENAARS RIBVER BRIDGE,Bridge,Bridge,2012/11/23,01N,D631,10.40,23.47,12.20,3,Simply supported,1977/01/02
D631_01N_B4095,BOSCHKOP RIVER BRIDGE,Bridge,Bridge,2012/11/23,01N,D631,12.50,27.15,11.40,3,Simply supported,1979/01/02
D631_01N_B4435,RAILWAY BRIDGE,Bridge,Bridge,2012/11/23,01N,D631,17.00,50.82,8.24,3,Continuous,1983/01/02
D64_01N_B1316,Road D64 over rail,Bridge,Bridge,2012/10/08,01N,D64,1.00,19.20,13.75,1,Continuous,
D64_01N_B1927,D64 over rail,Bridge,Bridge,2012/10/10,01N,D64,23.20,27.00,13.00,3,Simply supported,1967/01/02
D64_01N_B3922,Road D64 over river,Bridge,Bridge,2012/10/08,01N,D64,11.00,16.40,11.00,2,Simply supported,
D64_01N_IDB1472,Road D64 over river,Bridge,Bridge,2012/10/08,01N,D64,1.00,80.50,11.75,5,Simply supported,
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,2012/10/08,01N,D64,1.00,58.00,12.40,5,Simply supported,
D64_01N_IDB2069,D64 over Klip River,Bridge,Bridge,2012/10/10,01N,D64,22.80,39.20,16.90,4,Simply supported,
D67_01N_B3527,Rail over road D67 ,Bridge,Bridge,2012/10/02,01N,D67,1.00,8.40,6.20,1,Simply supported,
D67_01N_IDB1433,Road d67 over river,Bridge,Bridge,2012/10/02,01N,D67,1.00,39.60,12.10,3,Simply supported,1971/01/02
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,2012/10/08,01N,D67,1.00,47.00,11.85,5,Simply supported,
D671_01N_B3856,D671-01,Bridge,Bridge,2012/10/11,01N,D671,0.40,31.40,12.50,2,Simply supported,
D687_01N_B2293,Bridge over Suikerbosrand River,Bridge,Bridge,2012/10/04,01N,D687,18.00,32.90,11.75,5,Simply supported,1976/01/02
D713_01N_B2816,Elands River Bridge,Bridge,Bridge,2012/10/23,01N,D713,18.80,24.70,13.50,3,Simply supported,
D713_01N_IDB0633,Railway Bridge,Bridge,Bridge,2012/09/26,01N,D713,20.00,8.00,7.20,4,Continuous,
D734_01N_B2764,2764 over Pienaars River,Bridge,Bridge,2012/11/08,01N,D734,3.10,49.70,12.40,3,Simply supported,1970/01/02
D755_01N_B2114,Hennops River Bridge,Bridge,Bridge,2012/10/31,01N,D755,1.80,67.00,11.28,3,Continous and simply supported,
D755_01N_IDB2484,Hennops River Bridge,Bridge,Bridge,2012/10/31,01N,D755,3.30,41.65,10.80,3,Simply supported,
D817_01N_B4514,Road D817 over rail,Bridge,Bridge,2012/10/08,01N,D817,3.00,37.50,13.35,3,Simply supported,1985/01/02
D83_01N_B1148,D83 (R54) over Grootspruit,Bridge,Bridge,2012/10/03,01N,D83,40.00,23.80,12.60,3,Simply supported,
D83_01N_B2120,D83 (R54) over Suikerbosrant  River,Bridge,Bridge,2012/10/04,01N,D83,6.00,80.50,8.80,5,Simply supported,1964/01/02
D83_01N_B2751,Road D83 over river,Bridge,Bridge,2012/10/02,01N,D83,1.00,20.00,12.10,1,Continuous,1969/01/02
D871_01N_B669,Road D871 over river,Bridge,Bridge,2012/10/02,01N,D871,1.00,29.00,5.50,8,Simply supported,
D878_01N_B1138,Road D878 over river,Bridge,Bridge,2012/10/09,01N,D878,1.00,29.60,8.80,3,Simply supported,
D93_01N_B4634,D93-01,Bridge,Bridge,2012/10/30,01N,D93,12.20,7.40,12.80,1,Frame,1982/01/02
D94_01N_IDB1770,D94-02,Bridge,Bridge,2012/10/17,01N,D94,0.33,33.00,10.00,3,Simply supported,
D96_01N_B1314,Mattys Johannes Redelingshuys Bridge 1314,Bridge,Bridge,2012/10/04,01N,D96,10.20,86.00,8.60,27,Arch,
D960_01N_B901,Bridge 901 over the Wilge River,Bridge,Bridge,2012/09/25,01N,D960,22.80,26.00,5.10,4,Arch,
D962_01N_B3602,D962-01,Bridge,Bridge,2012/10/11,01N,D962,1.40,23.90,12.60,3,Simply supported,1973/01/02
D962_01N_B3603,D962-02,Bridge,Bridge,2012/10/16,01N,D962,20.95,8.40,12.90,1,Simply supported,
D962_01N_B3604,D962-03,Bridge,Bridge,2012/10/16,01N,D962,7.80,13.10,12.80,2,Simply supported,
D98_01N_B1376,Zeekonhoek Bridge 1376,Bridge,Bridge,2012/10/09,01N,D98,4.40,22.60,8.60,2,Simply supported,
K103_01N_B4721,Pedestrian bridge at Waterkloof,Bridge,Bridge,2012/10/16,01N,K103,2.10,43.30,2.60,2,Continuous,
K103_01N_B4866A,Hennops River Bridge 1,Bridge,Bridge,2012/10/17,01N,K103,4.36,26.80,13.70,2,Continuous,1986/01/02
K103_01N_B4867A,Hennops River Bridge 2,Bridge,Bridge,2012/10/17,01N,K103,4.43,13.50,14.30,1,Simply supported,1986/01/02
