Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,X-Coord,Y-Coord,Analysis Date,Total Cost
D1496_01N_IDC1803,Tributary to Krokodil Rivier,Major Culvert,Culvert Major,2012/10/24,01N,D1496,2.30,27.83,-26.01,2022/06/30,21600.00
D1496_01N_IDC1812,Tributary to Krokodil Rivier,Major Culvert,Culvert Major,2012/10/24,01N,D1496,1.20,27.82,-26.00,2022/06/30,8654.00
D1503_01N_B4870,4870 over tributary to Sandriver,Bridge,Bridge Cellular,2016/04/01,,D1503,,28.07,-25.59,2022/06/30,17250.00
D1520_01N_B1719,D1520-03,Bridge,Bridge,2012/10/17,01N,D1520,15.83,27.83,-26.36,2022/06/30,0.00
D1520_01N_B3897,D1520-01,Bridge,Bridge Cellular,2016/05/16,,D1520,,27.78,-26.40,2022/06/30,50500.00
D1520_01N_IDC0750,D1520-02,Major Culvert,Culvert Major,2012/10/17,01N,D1520,9.30,27.79,-26.39,2022/06/30,59310.00
D1520_01N_IDC0773,D1520-04,Major Culvert,Culvert Major,2012/10/16,01N,D1520,2.52,27.66,-26.41,2022/06/30,18020.00
D1676_01N_B1607,Hartbeesfontein Bridge 1607,Bridge,Bridge,2012/10/03,01N,D1676,3.60,27.65,-25.86,2022/06/30,58760.00
D1678_01N_IDC0745,D1678-01,Major Culvert,Culvert Major,2012/10/17,01N,D1678,0.60,27.84,-26.36,2022/06/30,95000.00
D1683_01N_B4017,Road over Blesbok River Bridge outside Nigel,Bridge,Bridge,2012/10/08,01N,D1683,1.00,28.48,-26.44,2022/06/30,0.00
D1691_01N_B2540,Vlakplass Bridge 2540,Bridge,Bridge,2012/10/10,01N,D1691,1.50,27.68,-26.11,2022/06/30,45640.00
D1691_01N_B2544,Elandsvlei Bridge 2544,Bridge,Bridge,2012/10/10,01N,D1691,3.60,27.66,-26.12,2022/06/30,346350.00
D1693_01N_B4434,RAIL BRIDGE,Bridge,Bridge,2012/11/28,01N,D1693,0.80,28.46,-25.79,2022/06/30,80890.00
D1701_01N_IDC1784,Blaauwbank Spruit,Major Culvert,Culvert Major,2012/10/23,01N,D1701,0.10,27.78,-26.00,2022/06/30,15135.00
D1780_01N_B1425,Bridge over the Blesbok River,Bridge,Bridge,2012/10/09,01N,D1780,3.10,28.43,-26.48,2022/06/30,199620.00
D1780_01N_B3612,Tribute to Blesbok River,Bridge,Bridge,2012/10/09,01N,D1780,2.70,28.43,-26.48,2022/06/30,123750.00
D1781_01N_IDC2329,drainage,Major Culvert,Culvert Major,2012/10/13,01N,D1781,1.20,27.96,-26.38,2022/06/30,28290.00
D1794_01N_B3703,Hekpoort Bridge 3703,Bridge,Bridge,2012/10/04,01N,D1794,0.30,27.60,-25.93,2022/06/30,89780.00
D1814_01N_B3042,D1814 over Rail,Bridge,Bridge,2012/10/26,01N,D1814,4.25,28.49,-25.73,2022/06/30,15150.00
D1850_01N_IDC0474,Tributory to Wonderfonteinspruit river C1,Major Culvert,Culvert Major,2012/10/09,01N,D1850,3.30,27.65,-26.33,2022/06/30,20272.00
D1884_01N_B1663,Road D1884 over suikerbos river,Bridge,Bridge,2012/10/04,01N,D1884,6.00,28.11,-26.69,2022/06/30,102540.00
D1884_01N_IDC2017,D1884 over spruit,Major Culvert,Culvert Major,2012/10/03,01N,D1884,3.00,28.11,-26.67,2022/06/30,18400.00
D189_01N_B4107,NB042 over Kaalplaasspruit,Bridge,Bridge Cellular,2016/04/01,,D189,,28.14,-25.59,2022/06/30,66500.00
D1894_01N_IDC0984,"Culvert (034), Tributary to Blesbokspruit",Bridge,Bridge Cellular,2012/10/11,01N,D1894,0.70,28.37,-26.40,2022/06/30,355980.00
D1919_01N_B2112,2112 over Apies River,Bridge,Bridge,2012/11/06,01N,D1919,8.60,28.24,-25.50,2022/06/30,172100.00
D1919_01N_B3200,3200 over Apies River,Bridge,Bridge,2012/11/07,01N,D1919,3.20,28.24,-25.55,2022/06/30,1176000.00
D1919_01N_B3372,3372 over Petronella to Spykerras Rail,Bridge,Bridge,2012/11/06,01N,D1919,10.20,28.26,-25.50,2022/06/30,42130.00
D1919_01N_IDC1744,Tributory to Apiesrivier,Major Culvert,Culvert Major,2012/11/02,01N,D1919,8.40,28.25,-25.50,2022/06/30,7500.00
D1919_01N_IDC1746,Tributory to Apiesrivier,Major Culvert,Culvert Major,2012/11/02,01N,D1919,6.20,28.23,-25.51,2022/06/30,256850.00
D1919_01N_IDC1749,Tributory to Apiesrivier,Major Culvert,Culvert Major,2012/11/02,01N,D1919,3.50,28.23,-25.53,2022/06/30,633800.00
D1919_01N_IDC1781,Tributory to Apiesrivier,Major Culvert,Culvert Major,2012/11/02,01N,D1919,2.80,28.23,-25.54,2022/06/30,257600.00
D1931_01N_B3373,3373 over Kaalplaas River,Bridge,Bridge,2012/11/22,01N,D1931,2.21,28.20,-25.58,2022/06/30,156920.00
D1932_01N_IDC2764,Tributary to Apies River C1,Major Culvert,Culvert Major,2012/11/21,01N,D1932,1.40,28.22,-25.54,2022/06/30,99500.00
D1932_01N_IDC2770,Tributory to Metsi Metsuane River C2,Major Culvert,Culvert Major,2012/11/21,01N,D1932,8.80,28.15,-25.55,2022/06/30,3750.00
D1932_01N_IDC2775,Tributory to Metsi Metsuane River C3,Major Culvert,Culvert Major,2012/11/21,01N,D1932,10.40,28.14,-25.55,2022/06/30,0.00
D1986_01N_IDB1427,Road D1986 over Suikerbosrand river,Bridge,Bridge,2012/10/01,01N,D1986,1.00,28.38,-26.65,2022/06/30,167380.00
D1986_01N_IDC0744,"Culvert, Tributary to Suikerbosrand river",Major Culvert,Culvert Major,2012/10/16,01N,D1986,4.70,28.42,-26.59,2022/06/30,0.00
D1986_01N_IDC0747,"Culvert, Tributary to Suikerbosrand river",Major Culvert,Culvert Major,2012/10/16,01N,D1986,3.40,28.41,-26.60,2022/06/30,17310.00
D2014_01N_IDC2004,D2014 over spruit,Major Culvert,Culvert Major,2012/10/03,01N,D2014,1.00,28.31,-26.53,2022/06/30,15280.00
D2014_01N_IDC2005,D2014 over spruit,Major Culvert,Culvert Major,2012/11/12,01N,D2014,1.50,28.31,-26.53,2022/06/30,2160.00
D2079_01N_IDC2795,Road D2079 over stream at distance 6.0,Major Culvert,Culvert Major,2012/10/09,01N,D2079,6.00,28.13,-26.60,2022/06/30,77250.00
D2118_IDC0705,"Culvetr 157, Tributary to Suikerbosrand river",Major Culvert,Culvert Major,2012/10/16,,D2118,,28.50,-26.55,2022/06/30,42750.00
D2129_01N_IDC1768,Moreleta River Culvert,Major Culvert,Culvert Major,2012/10/26,01N,D2129,0.70,28.31,-25.66,2022/06/30,504150.00
D2150_01N_B2778,-,Bridge,Bridge,2012/10/29,01N,D2150,4.10,27.87,-26.47,2022/06/30,13170.00
D2204_01N_B5227,D2204-01,Bridge,Bridge,2012/10/30,01N,D2204,15.86,27.82,-26.30,2022/06/30,75700.00
D2205_01N_B5413,Road over Rail Leondale Rd  (K123),Bridge,Bridge,2012/10/17,01N,D2205,2.10,28.21,-26.31,2022/06/30,23500.00
D2205_01N_B5414,Road over Rail Leondale Road near Rondebult Station,Bridge,Bridge,2012/10/17,01N,D2205,2.54,28.21,-26.30,2022/06/30,37750.00
D2212_01N_IDC2746,Tributary to Stinkwaterspruit C1,Major Culvert,Culvert Major,2012/11/21,01N,D2212,3.10,28.18,-25.52,2022/06/30,70160.00
D2212_01N_IDC2760,Tributary to Apies River C2,Major Culvert,Culvert Major,2012/11/21,01N,D2212,8.10,28.19,-25.49,2022/06/30,149860.00
D2244_01N_IDB1477,D2244 over stream,Bridge,Bridge Cellular,2016/05/16,,,,28.22,-26.45,2022/06/30,24120.00
D2266_01N_B4158,4158 over Wildebeesthoek to Lynross rail,Bridge,Bridge,2012/10/17,01N,D2266,1.52,28.04,-25.62,2022/06/30,72770.00
D2291_01N_IDC1967,Tributory to Apiesrivier C1,Major Culvert,Culvert Major,2012/11/02,01N,D2291,2.95,28.26,-25.50,2022/06/30,285248.00
D2291_01N_IDC1982,Tributory to Apiesrivier C2,Major Culvert,Culvert Major,2012/11/02,01N,D2291,3.00,28.26,-25.50,2022/06/30,285248.00
D2297_01N_IDC0913,"Culvert (720), Tributary to Boesmanspruit",Major Culvert,Culvert Major,2012/10/18,01N,D2297,6.20,28.65,-26.44,2022/06/30,30560.00
D2297_01N_IDC0918,"Culvert (724), Tributary to Boesmanspruit",Major Culvert,Culvert Major,2012/10/18,01N,D2297,9.90,28.61,-26.45,2022/06/30,16500.00
D2310_01N_C3913,drainage,Major Culvert,Culvert Major,2012/10/13,01N,D2310,4.10,28.01,-26.42,2022/06/30,0.00
D2377_01N_B1106,Bronkhorstspruit River,Bridge,Bridge,2012/09/28,01N,D2377,0.50,28.70,-25.85,2022/06/30,74300.00
D2442_01N_IDC0430,Culvert at km 6.5 on Route D2442,Major Culvert,Culvert Major,2012/09/28,01N,D2442,6.50,28.70,-25.77,2022/06/30,6300.00
D25_01N_B1161,Malan River Bridge,Bridge,Bridge,2012/10/24,01N,D25,13.00,28.59,-25.58,2022/06/30,41850.00
D25_01N_B2677,Elands River Bridge,Bridge,Bridge,2012/10/24,01N,D25,8.70,28.56,-25.61,2022/06/30,354750.00
D2502_01N_IDC2350,drainage,Major Culvert,Culvert Major,2012/10/30,01N,D2502,2.40,27.88,-26.46,2022/06/30,15280.00
D2544_01N_IDC0748,"Culvert (211), Tributary to Suikerbosrand river",Major Culvert,Culvert Major,2012/10/17,01N,D2544,1.40,28.39,-26.53,2022/06/30,143960.00
D2572_01N_B5262,Wilgespruit Bridge,Bridge,Bridge Cellular,2016/04/15,,D2572,,27.85,-26.04,2022/06/30,3750.00
D2616_01N_IDC1426,Drainage,Major Culvert,Culvert Major,2012/10/19,01N,D2616,0.03,27.88,-26.70,2022/06/30,0.00
D2666_01N_B1399,Rail over Road at Jameson Park,Bridge,Bridge,2012/10/11,01N,D2666,1.00,28.40,-26.47,2022/06/30,20250.00
D2666_01N_B434,River Bridge over Tributary of the Blesbok River near Jameson Park,Bridge,Bridge,2012/10/11,01N,D2666,1.30,28.40,-26.47,2022/06/30,138200.00
D2757_01N_B2276,NB031 over Kekane to Spykerras Rail,Bridge,Bridge,2012/11/07,01N,D2757,0.32,28.28,-25.40,2022/06/30,46835.00
D2757_01N_B2576,2576 over Apies River,Bridge,Bridge,2012/11/07,01N,D2757,0.67,28.28,-25.40,2022/06/30,227250.00
D2758_01N_B3998,3998 over Akasiaboom to Labeleng Rail,Bridge,Bridge,2012/10/22,01N,D2758,7.35,28.09,-25.58,2022/06/30,108640.00
D2758_01N_B5513,5513 over tributary to Sand river,Bridge,Bridge Cellular,2016/04/01,,D2758,,28.06,-25.57,2022/06/30,10890.00
D2758_01N_IDC2812,"Culvert (704), Tributary to Sandrivier",Major Culvert,Culvert Major,2012/11/26,01N,D2758,10.50,28.06,-25.57,2022/06/30,57000.00
D2760_01N_IDC2341,CULVERT AT KM 1.5,Major Culvert,Culvert Major,2012/11/07,01N,D2760,1.50,28.44,-25.87,2022/06/30,1500.00
D2761_01N_B1348,D2761 over Osspruit,Major Culvert,Culvert Major,2012/10/23,01N,D2761,8.10,28.55,-25.97,2022/06/30,18090.00
D2761_01N_B4442,unknown,Bridge,Bridge,2012/10/23,01N,D2761,5.50,28.53,-25.96,2022/06/30,113730.00
D2762_01N_B1539,D2762 (M6) over tributory of Pienaars River,Bridge,Bridge,2012/11/23,01N,D2762,14.00,28.43,-25.88,2022/06/30,42300.00
D2762_01N_IDC1632,D2762 (M6) over tributory to Pienaars River,Major Culvert,Culvert Major,2012/11/07,01N,D2762,9.30,28.40,-25.84,2022/06/30,116890.00
D2762_01N_IDC1636,NEW STRUCTURE,Major Culvert,Culvert Major,2012/11/07,01N,D2762,17.45,28.45,-25.90,2022/06/30,1500.00
D2767_01N_B279,Wilge river bridge,Bridge,Bridge Cellular,2016/04/01,,D2767,,29.02,-25.62,2022/06/30,9050.00
D30_01N_IDC2806,"Culvert (700), Sandrivier",Major Culvert,Culvert Major,2012/11/26,01N,D30,11.80,28.04,-25.64,2022/06/30,71580.00
D30_01N_IDC2807,701,Major Culvert,Culvert Major,2012/11/26,01N,D30,11.70,28.04,-25.64,2022/06/30,9660.00
D31_01N_B4218,NB023 over Brits to Pienaarspoort Rail,Bridge,Bridge,2012/10/23,01N,D31,3.61,28.08,-25.60,2022/06/30,112500.00
D31_01N_IDC2819,"Culvert (710), Kaalplaasspruit",Major Culvert,Culvert Major,2012/11/26,01N,D31,1.60,28.09,-25.62,2022/06/30,0.00
D31_01N_IDC2820,"Culvert (711), Tributary to Sandrivier",Major Culvert,Culvert Major,2012/11/27,01N,D31,5.60,28.07,-25.59,2022/06/30,96290.00
D31_01N_IDC2821,"Culvert (712), Tributary to Sandrivier",Major Culvert,Culvert Major,2012/11/27,01N,D31,5.80,28.07,-25.59,2022/06/30,8190.00
D31_01N_IDC2822,"Culvert (713), Tributary to Sandrivier",Major Culvert,Culvert Major,2012/11/27,01N,D31,6.20,28.07,-25.58,2022/06/30,35280.00
D318_01N_B1501,NB022 over Metsi Metsuane River,Bridge,Bridge,2012/10/22,01N,D318,11.92,28.15,-25.56,2022/06/30,2250.00
D318_01N_B1502,NB021 over Kaalplaas River,Bridge,Bridge,2012/10/22,01N,D318,8.66,28.17,-25.58,2022/06/30,32600.00
D318_01N_B4344,4344 Ga-Rankuwa to Pienaarspoort Rail,Bridge,Bridge,2012/10/22,01N,D318,4.03,28.18,-25.62,2022/06/30,176920.00
D318_01N_IDC2721,Tributary to Apies River C2,Major Culvert,Culvert Major,2012/11/21,01N,D318,1.30,28.17,-25.62,2022/06/30,78100.00
D318_01N_IDC2728,Tributary to Apies River C1,Major Culvert,Culvert Major,2012/11/21,01N,D318,0.40,28.18,-25.62,2022/06/30,0.00
D318_01N_IDC2817,"Culvert (708), Tributary to Soutpanspruit",Major Culvert,Culvert Major,2012/11/26,01N,D318,20.50,28.11,-25.46,2022/06/30,113900.00
D318_01N_IDC2818,"Culvert (709), Tributary to Soutpanspruit",Major Culvert,Culvert Major,2012/11/26,01N,D318,19.30,28.12,-25.48,2022/06/30,48000.00
D321_01N_IDC1623,NEW STRUCTURE,Major Culvert,Culvert Major,2012/11/12,01N,D321,24.30,28.30,-25.81,2022/06/30,6330.00
D321_01N_IDC1625,NEW STRUCTURE,Major Culvert,Culvert Major,2012/11/12,01N,D321,18.60,28.33,-25.85,2022/06/30,0.00
D321_01N_IDC1626,NEW STRUCTURE,Major Culvert,Culvert Major,2012/11/07,01N,D321,4.70,28.44,-25.93,2022/06/30,17100.00
D321_01N_IDC1627,NEW STRUCTURE,Major Culvert,Culvert Major,2012/11/07,01N,D321,1.70,28.46,-25.94,2022/06/30,0.00
D321_IDC2910,Drainage,Major Culvert,Culvert Major,2012/10/24,,D321,,28.39,-25.90,2022/06/30,3240.00
D327_01N_B2003,NB041 over Pienaars River,Bridge,Bridge,2012/11/22,01N,D327,10.32,28.32,-25.55,2022/06/30,68650.00
D34_01N_IDC1878,D34-1 Over Schurweberg Stream,Major Culvert,Culvert Major,2012/10/31,01N,D34,0.70,28.04,-25.78,2022/06/30,461400.00
D34_01N_IDC1880,D34-1 Over Schurweberg Stream,Major Culvert,Culvert Major,2012/10/31,01N,D34,0.20,28.03,-25.77,2022/06/30,0.00
D359_01N_B4390,Road D359 over canal,Bridge,Bridge,2012/10/04,01N,D359,7.00,28.06,-26.80,2022/06/30,4500.00
D36_01N_B1442,Edendale River Bridge,Bridge,Bridge,2012/11/07,01N,D36,5.80,28.38,-25.64,2022/06/30,166700.00
D36_01N_B4174,Rail Bridge,Bridge,Bridge,2012/10/26,01N,D36,5.30,28.33,-25.65,2022/06/30,19000.00
D37_01N_B1625,Pienaars River Bridge,Bridge,Bridge,2012/11/07,01N,D37,1.75,28.35,-25.66,2022/06/30,18980.00
D37_01N_B1691,Roodeplaat River Bridge,Bridge,Bridge,2012/11/07,01N,D37,10.10,28.40,-25.61,2022/06/30,123630.00
D37_01N_B4175,Rail Bridge,Bridge,Bridge,2012/11/07,01N,D37,2.20,28.35,-25.66,2022/06/30,53050.00
D374_01N_B4350,ZANDSPRUIT PEDESTRIAN BRIDGE,Bridge,Bridge,2012/11/13,01N,D374,8.10,27.90,-26.06,2022/06/30,325240.00
D374_01N_B635,Elandsdrif Bridge 635,Bridge,Bridge,2012/10/02,01N,D374,4.40,27.84,-25.99,2022/06/30,399920.00
D374_01N_IDC1816,Tributary to Bloubankspruit,Major Culvert,Culvert Major,2012/10/24,01N,D374,9.00,27.80,-25.98,2022/06/30,33900.00
D374_01N_IDC2167,EASTWOOD AVENUE AND BEYERS NAUDE ROAD CULVERT ,Major Culvert,Culvert Major,2012/11/13,01N,D374,2.70,27.94,-26.10,2022/06/30,137200.00
D377_01N_B2205,D377-01,Bridge,Bridge,2012/10/10,01N,D377,15.50,27.68,-26.57,2022/06/30,336450.00
D377_01N_B3698,D377-04,Bridge,Bridge,2012/10/11,01N,D377,33.00,27.69,-26.47,2022/06/30,152350.00
D377_01N_B3699,D377-03,Bridge,Bridge,2012/10/10,01N,D377,27.00,27.68,-26.53,2022/06/30,392620.00
D377_01N_C3914,D377-02,Major Culvert,Culvert Major,2012/10/10,01N,D377,17.40,27.69,-26.56,2022/06/30,15951.00
D400_01N_B2089,Weltervreden Bridge 2089,Bridge,Bridge,2012/10/04,01N,D400,29.00,27.70,-25.94,2022/06/30,99080.00
D400_01N_B4399,Kwaggasfontein Bridge 4399,Bridge,Bridge Cellular,2016/04/15,,D400,,27.59,-26.02,2022/06/30,13700.00
D400_01N_C5554,Tributary to Rietlaagte River,Major Culvert,Culvert Major,2012/10/23,01N,D400,17.10,27.63,-26.01,2022/06/30,0.00
D400_01N_C5555,Tributary to Rietlaagte,Major Culvert,Culvert Major,2012/10/23,01N,D400,17.60,27.63,-26.00,2022/06/30,6300.00
D400_01N_IDC1666,Tributary to Skeerpoort Rivier C3,Major Culvert,Culvert Major,2012/10/23,01N,D400,25.40,27.69,-25.97,2022/06/30,0.00
D400_01N_IDC1686,Tributary to Skeerpoort Rivier,Major Culvert,Culvert Major,2012/10/23,01N,D400,26.40,27.69,-25.96,2022/06/30,0.00
D400_01N_IDC1743,Tributary to Skeerpoort Rivier,Major Culvert,Culvert Major,2012/10/23,01N,D400,27.50,27.70,-25.95,2022/06/30,95000.00
D400_01N_IDC1754,Tributary to Skeerpoort Rivier,Major Culvert,Culvert Major,2012/10/23,01N,D400,34.10,27.74,-25.86,2022/06/30,10825.00
D401_01N_B1669,Hartbeesfontein Bridge 1669,Bridge,Bridge,2012/10/03,01N,D401,5.60,27.64,-25.84,2022/06/30,73450.00
D401_01N_B729,Hartbeesfontein Bridge 729,Bridge,Bridge,2012/10/03,01N,D401,1.30,27.62,-25.87,2022/06/30,9450.00
D405_01N_IDC2292,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D405,5.60,27.95,-26.33,2022/06/30,39850.00
D405_01N_IDC2293,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D405,8.70,27.98,-26.33,2022/06/30,0.00
D434_01N_B2007,2007 over Apies River,Bridge,Bridge,2012/11/22,01N,D434,0.45,28.20,-25.60,2022/06/30,722800.00
