Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
P16_01N_IDC0698,Tibutory to Bloubankriver,Major Culvert,Culvert Major,2012/10/16,01N,P16,30.70,2022/06/30,2016/05/11,1914164.00,3050931.00,3264075.00,7560.00,1342351.00,24450,,,,,7.5,17.8,1.00,,,,,,,,,,0.589,47
P156_03N_IDC1712,Drainage,Major Culvert,Culvert Major,2012/10/16,03N,P156,13.00,2022/06/30,2016/05/30,628635.00,1261376.00,1261376.00,114000.00,518741.00,24450,,,,,7.7,6.7,0.50,,,,,,,,,,0.589,47
P175_01N_B1878,-,Bridge,Bridge,2012/10/27,01N,P175,7.50,2022/06/30,2016/05/09,3028148.00,5412293.00,5899600.00,98640.00,2772812.00,30100,19.60,10.00,3.05,,,,,,,,,,,,,1.00,0.53,47
P2_04N_IDC2317,"511 Culvert, on the R514",Major Culvert,Culvert Major,2012/11/07,04N,P2,0.25,2022/06/30,2016/05/01,1497649.00,2396748.00,2543778.00,0.00,1046129.00,24450,,,,,10.2,10.2,0.10,,,,,,,,,,0.589,47
P16_01N_C603,Magaliesriver C603,Major Culvert,Culvert Major,2012/10/16,01N,P16,26.40,2022/06/30,2016/07/30,2218570.00,3408108.00,3517866.00,6480.00,1292816.00,24450,,,,,10.9,13.2,1.00,,,,,,,,,,0.633,42
P159_01N_B3792A,3792(A) Bremer Street North over P159-1,Bridge,Bridge,2012/10/08,01N,P159,3.52,2022/06/30,2016/03/11,34096837.00,55499695.00,57494760.00,974970.00,22422957.00,30100,129.50,14.75,6.98,,,,,,,,,,,,,1.00,0.61,39
P159_01N_B3788B,3788(B) over Daspoort to Mountainview Rail,Bridge,Bridge,2012/10/05,01N,P159,0.46,2022/06/30,2016/03/11,19080055.00,34138673.00,36072140.00,38180.00,16953905.00,30100,92.90,12.90,7.08,,,,,,,,,,,,,1.00,0.53,47
P159_01N_C3791,"510 Culvert, Tributary to Apies river",Major Culvert,Culvert Major,2012/11/06,01N,P159,3.25,2022/06/30,2016/04/30,8415910.00,14055288.00,14298360.00,2250.00,5880200.00,24450,,,,,34,17.2,1.50,,,,,,,,,,0.589,47
P156_04N_IDC1353,Drainage,Major Culvert,Culvert Major,2012/10/16,04N,P156,1.70,2022/06/30,2016/05/30,119872.00,202249.00,211248.00,4500.00,86876.00,24450,,,,,3.6,2.4,0.00,,,,,,,,,,0.589,47
P158_01N_B4869A,K103 over P158-1,Bridge,Bridge,2012/11/01,01N,P158,5.60,2022/06/30,2016/06/27,19940054.00,29537106.00,31183600.00,17450.00,11226096.00,30100,74.00,14.00,6.20,,,,,,,,,,,,,1.00,0.64,36
