Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
P158_01N_B2227A,Freedom Park Access,Bridge,Bridge,2012/11/07,01N,P158,0.60,2022/06/30,2016/06/29,6445761.00,12761151.00,13590150.00,23150.00,7121239.00,30100,35.00,12.90,5.20,,,,,,,,,,,,,1.00,0.476,56
P158_01N_IDB2124,Bridge at Route km 6.1,Bridge,Bridge,2012/11/07,01N,P158,6.10,2022/06/30,2016/03/18,14086001.00,24979952.00,26993680.00,220650.00,12687029.00,30100,76.00,11.80,5.50,,,,,,,,,,,,,1.00,0.53,47
P156_03N_IDC1709,Drainage,Major Culvert,Culvert Major,2012/10/16,03N,P156,12.02,2022/06/30,2016/05/30,729134.00,1283625.00,1283625.00,26600.00,527891.00,24450,,,,,7.5,7,0.40,,,,,,,,,,0.589,47
P159_01N_B3788A,3788(A) over Daspoort to Mountainview Rail,Bridge,Bridge,2012/10/05,01N,P159,0.46,2022/06/30,2016/03/11,24150017.00,37647678.00,39872570.00,172250.00,15550301.00,30100,95.30,13.90,6.77,,,,,,,,,,,,,1.00,0.61,39
P158_01N_B5208,M25 Hendrik Verwoerd Drive Overpass,Bridge,Bridge,2012/11/08,01N,P158,11.95,2022/06/30,2016/06/29,17812876.00,31959419.00,33637950.00,15240.00,15809836.00,30100,78.70,14.20,6.50,,,,,,,,,,,,,1.00,0.53,47
P156_02N_B4823,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,2022/06/30,2016/05/11,7698027.00,14019733.00,14572010.00,25140.00,6848845.00,30100,49.40,9.80,7.63,,,,,,,,,,,,,1.00,0.53,47
P16_01N_IDC0536,Tributory to Rietspruit,Major Culvert,Culvert Major,2012/10/10,01N,P16,14.60,2022/06/30,2016/05/12,3490241.00,5947484.00,5947484.00,11340.00,2445903.00,29350,,,,,6.8,29.8,4.00,,,,,,,,,,0.589,47
P159_01N_B3789,3789 Hendrik Street over P159-1,Bridge,Bridge,2012/10/08,01N,P159,1.45,2022/06/30,2016/03/11,55280358.00,88506644.00,91309860.00,418655.00,35610843.00,30100,169.00,17.95,6.51,,,,,,,,,,,,,1.00,0.61,39
P156_02N_B4822A,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,2022/06/30,2016/05/11,17729251.00,32390352.00,33513040.00,32660.00,15751127.00,30100,80.10,13.90,5.33,,,,,,,,,,,,,1.00,0.53,47
P159_01N_B4040,NB01 Lady Selborne Pedestrian Bridge,Bridge,Bridge,2012/10/08,01N,P159,4.28,2022/06/30,2016/03/11,8767794.00,15790818.00,16679860.00,72530.00,7839531.00,30100,146.60,3.78,6.69,,,,,,,,,,,,,1.00,0.53,47
P16_01N_B397,Thorndale Bridge 397,Bridge,Bridge,2012/10/04,01N,P16,37.40,2022/06/30,2016/04/01,3233659.00,5976010.00,6161470.00,31920.00,2895891.00,30100,17.80,11.50,3.10,,,,,,,,,,,,,1.00,0.53,47
P16_01N_IDC0694,Tibutory to Wonderfonteinspruit,Major Culvert,Culvert Major,2012/10/16,01N,P16,2.80,2022/06/30,2016/05/15,2030404.00,3249684.00,3456008.00,4320.00,1421283.00,24450,,,,,5.5,25.7,1.00,,,,,,,,,,0.589,47
P156_02N_IDC1327,Drainage,Major Culvert,Culvert Major,2012/10/14,02N,P156,6.21,2022/06/30,2016/06/03,763155.00,1377758.00,1377758.00,48000.00,566603.00,24450,,,,,11.5,4.9,0.00,,,,,,,,,,0.589,47
P158_01N_B2301,Edward Rd Bridge at km12.18,Bridge,Bridge,2012/11/08,01N,P158,12.18,2022/06/30,2016/06/29,11047791.00,19429637.00,20948400.00,54860.00,9845745.00,30100,54.80,12.70,5.55,,,,,,,,,,,,,1.00,0.53,47
